Problem,Choice,Slice,Slice-Slot,Subslice-Slot,Real Slot,,Slice Correct?,Subslice Correct?
09,choice_A,slice0,,1,0,,,0
09,choice_A,slice1,,0,0,,,1
09,choice_A,slice2,,0,0,,,1
09,choice_A,slice3,,3,0,,,0
---,---,---,---,---,---,---,---,---
09,choice_B,slice0,,2,2,,,1
09,choice_B,slice1,,2,2,,,1
09,choice_B,slice2,,1,2,,,0
09,choice_B,slice3,,2,2,,,1
---,---,---,---,---,---,---,---,---
09,choice_C,slice0,,0,1,,,0
09,choice_C,slice1,,1,1,,,1
09,choice_C,slice2,,1,1,,,1
09,choice_C,slice3,,0,1,,,0
---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---
10_BW,choice_A,0,,3,0,,,0
10_BW,choice_A,1,,0,0,,,1
---,---,---,---,---,---,---,---,---
10_BW,choice_B,0,,1,1,,,1
10_BW,choice_B,1,,1,1,,,1
---,---,---,---,---,---,---,---,---
10_BW,choice_C,0,,2,2,,,1
10_BW,choice_C,1,,3,2,,,0
10_BW,choice_C,2,,0,2,,,0
---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---
11_scaled,choice_A,0,,2,1,,,0
11_scaled,choice_A,1,,1,1,,,1
11_scaled,choice_A,2,,1,1,,,1
---,---,---,---,---,---,---,---,---
11_scaled,choice_B,0,,3,3,,,1
11_scaled,choice_B,1,,3,3,,,1
11_scaled,choice_B,2,,3,3,,,1
11_scaled,choice_B,3,,3,3,,,1
11_scaled,choice_B,4,,0,3,,,0
---,---,---,---,---,---,---,---,---
11_scaled,choice_C,0,,0,0,,,1
11_scaled,choice_C,1,,0,0,,,1
11_scaled,choice_C,2,,0,0,,,1
11_scaled,choice_C,3,,0,0,,,1
---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---
12,choice_A,slice0,,2,4,,,0
---,---,---,---,---,---,---,---,---
12,choice_B,slice1,,3,3,,,1
---,---,---,---,---,---,---,---,---
12,choice_C,slice2,,2,0,,,0
---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---
14,choice_A,0,,2,3,,,0
14,choice_A,1,,3,3,,,1
14,choice_A,2,,3,3,,,1
14,choice_A,3,,1,3,,,0
14,choice_A,4,,3,3,,,1
14,choice_A,5,,0,3,,,0
14,choice_A,6,,0,3,,,0
---,---,---,---,---,---,---,---,---
14,choice_B,0,,0,0,,,1
14,choice_B,1,,3,0,,,0
14,choice_B,2,,1,0,,,0
14,choice_B,3,,1,0,,,0
14,choice_B,4,,0,0,,,1
14,choice_B,5,,0,0,,,1
14,choice_B,6,,2,0,,,0
---,---,---,---,---,---,---,---,---
14,choice_C,0,,1,1,,,1
14,choice_C,1,,0,1,,,0
14,choice_C,2,,0,1,,,0
14,choice_C,3,,1,1,,,1
14,choice_C,4,,2,1,,,0
14,choice_C,5,,0,1,,,0
14,choice_C,6,,4,1,,,0
---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---
